91320,4091.7969,539.9858
3421450,0.1584,4140.6250,655.7155
3421487,0.3167,4091.7969,1295.9661
3421524,0.1584,4072.2656,644.8900
3421560,0.2375,4091.7969,971.9745
3421597,0.1848,4086.9141,755.0781
3421633,0.1848,4091.7969,755.9802
3421670,0.1584,4091.7969,647.9830
3421706,0.1584,4096.6797,648.7563
3421743,0.2111,4086.9141,862.9464
3421778,0.1320,4096.6797,540.6302
3421815,0.1320,4096.6797,540.6302
3421852,0.1848,4091.7969,755.9802
3421888,0.2903,4096.6797,1189.3866
3421926,0.1320,4096.6797,540.6302
3421962,0.1056,4052.7344,427.8647
3421999,0.1584,4077.1484,645.6633
3422034,0.1848,4091.7969,755.9802
3422071,0.1848,4091.7969,755.9802
3422107,0.1584,4096.6797,648.7563
3422144,0.1584,4091.7969,647.9830
3422180,0.1320,4086.9141,539.3415
3422217,0.2111,4091.7969,863.9774
3422254,0.2903,4086.9141,1186.5513
3422290,0.1584,4091.7969,647.9830
3422327,0.2111,4091.7969,863.9774
3422363,0.2903,4096.6797,1189.3866
3422401,0.1320,4106.4453,541.9189
3422437,0.1584,4091.7969,647.9830
3422474,0.1848,4077.1484,753.2739
3422510,0.1584,4096.6797,648.7563
3422546,0.1848,4096.6797,756.8823
3422583,0.1848,4101.5625,757.7845
3422619,0.1848,4077.1484,753.2739
3422656,0.3431,4091.7969,1403.9633
3422693,0.1848,4057.6172,749.6653
3422730,0.2639,4086.9141,1078.6830
3422767,0.2111,4091.7969,863.9774
3422803,0.1848,4091.7969,755.9802
3422839,0.1848,4096.6797,756.8823
3422876,0.1848,4101.5625,757.7845
3422912,0.1584,4082.0313,646.4365
3422949,0.1584,4096.6797,648.7563
3422986,0.2111,4086.9141,862.9464
3423022,0.1584,4072.2656,644.8900
3423058,0.2111,4082.0313,861.9154
3423094,0.1320,4096.6797,540.6302
3423131,0.1584,4096.6797,648.7563
3423167,0.3167,4140.6250,1311.4310
3423205,0.1584,4096.6797,648.7563
3423241,0.1848,4101.5625,757.7845
3423278,0.1320,4072.2656,537.4083
3423313,0.2111,4082.0313,861.9154
3423350,0.1848,4101.5625,757.7845
3423387,0.1848,4091.7969,755.9802
3423423,0.1584,4096.6797,648.7563
3423460,0.2903,4101.5625,1190.8042
3423497,0.1584,4096.6797,648.7563
3423534,0.1584,4091.7969,647.9830
3423569,0.2111,4077.1484,860.8844
3423606,0.1320,4091.7969,539.9858
3423642,0.1848,4047.8516,747.8611
3423679,0.2111,4086.9141,862.9464
3423716,0.1056,4096.6797,432.5042
3423752,0.1848,4096.6797,756.8823
3423789,0.1848,4091.7969,755.9802
3423824,0.2111,4101.5625,866.0394
3423861,0.1320,4096.6797,540.6302
3423897,0.1320,4096.6797,540.6302
3423934,0.1848,4096.6797,756.8823
3423970,0.2375,4072.2656,967.3350
3424007,0.2639,4091.7969,1079.9717
3424044,0.1848,4086.9141,755.0781
3424080,0.1320,4096.6797,540.6302
3424117,0.1584,4101.5625,649.5295
3424153,0.2375,4096.6797,973.1344
3424190,0.1584,4106.4453,650.3027
3424226,0.1584,4091.7969,647.9830
3424263,0.1320,4091.7969,539.9858
3424299,0.1584,3979.4922,630.1982
3424335,0.1584,4077.1484,645.6633
3424371,0.1584,4096.6797,648.7563
3424408,0.1848,4082.0313,754.1760
3424444,0.3167,4091.7969,1295.9661
3424482,0.1320,4086.9141,539.3415
3424519,0.2639,4091.7969,1079.9717
3424556,0.1848,4096.6797,756.8823
3424592,0.1320,4096.6797,540.6302
3424628,0.1584,4096.6797,648.7563
3424665,0.1848,3999.0234,738.8398
3424701,0.2639,4096.6797,1081.2605
3424739,0.1848,4096.6797,756.8823
3424775,0.2111,4101.5625,866.0394
3424812,0.1584,4101.5625,649.5295
3424848,0.1584,4096.6797,648.7563
3424884,0.1848,4091.7969,755.9802
3424921,0.1584,4096.6797,648.7563
3424957,0.1584,4096.6797,648.7563
3424994,0.1848,4096.6797,756.8823
3425030,0.1848,4130.8594,763.1972
3425067,0.1848,4091.7969,755.9802
3425102,0.1848,4091.7969,755.9802
3425139,0.1584,4101.5625,649.5295
3425175,0.2111,4082.0313,861.9154
3425212,0.2903,4096.6797,1189.3866
3425250,0.2639,4091.7969,1079.9717
3425287,0.1848,4096.6797,756.8823
3425324,0.2111,4096.6797,865.0084
3425359,0.1848,4091.7969,755.9802
3425396,0.1320,4091.7969,539.9858
3425432,0.1320,4096.6797,540.6302
3425469,0.1848,4096.6797,756.8823
3425505,0.2903,4096.6797,1189.3866
3425543,0.1848,4096.6797,756.8823
3425580,0.1848,4096.6797,756.8823
3425615,0.1320,4077.1484,538.0527
3425652,0.1584,4077.1484,645.6633
3425688,0.1320,4091.7969,539.9858
3425725,0.2375,4091.7969,971.9745
3425761,0.1848,4091.7969,755.9802
3425798,0.1584,4082.0313,646.4365
3425833,0.2111,4091.7969,863.9774
3425870,0.1320,4082.0313,538.6971
3425906,0.1848,4101.5625,757.7845
3425943,0.1584,4082.0313,646.4365
3425980,3.0089,3715.8203,11180.4140
3426018,3.1144,3627.9297,11298.9790
3426057,3.1408,3637.6953,11425.4050
3426095,2.5074,3793.9453,9512.9014
3426132,2.4546,3823.2422,9384.5420
3426169,2.1115,3852.5391,8134.5840
3426207,1.9003,3857.4219,7330.4048
3426245,1.8739,3881.8359,7274.3442
3426282,1.6364,3935.5469,6440.1367
3426320,1.8476,3896.4844,7198.9521
3426357,1.4253,3940.4297,5616.1108
3426395,1.4516,3911.1328,5677.5840
3426432,1.5308,3896.4844,5964.8467
3426469,1.4516,3920.8984,5691.7603
3426506,1.7684,3906.2500,6907.6948
3426544,1.8476,3891.6016,7189.9312
3426582,1.7948,3891.6016,6984.5049
3426619,1.8739,3886.7188,7283.4941
3426657,1.7684,3876.9531,6855.8872
3426694,1.9531,3867.1875,7553.1006
3426732,1.9795,3867.1875,7655.1694
3426768,1.7948,3901.3672,7002.0317
3426806,1.7420,3891.6016,6779.0781
3426844,1.8212,3872.0703,7051.6484
3426881,2.1115,3847.6563,8124.2739
3426919,1.9267,3833.0078,7385.1768
3426956,1.7156,3896.4844,6684.7412
3426994,1.6100,3935.5469,6336.2637
3427031,1.6892,3901.3672,6590.1475
3427068,1.9003,3867.1875,7348.9624
3427105,1.6628,3881.8359,6454.7002
3427143,1.6892,3979.4922,6722.1152
3427181,1.6628,3925.7813,6527.7720
3427218,1.9267,3876.9531,7469.8477
3427256,1.8476,3891.6016,7189.9312
3427293,1.8739,3857.4219,7228.5938
3427331,1.7684,3876.9531,6855.8872
3427367,2.0059,3867.1875,7757.2383
3427405,1.9531,3881.8359,7581.7109
3427443,1.9795,3876.9531,7674.5005
3427480,1.9531,3891.6016,7600.7842
3427518,1.7684,3867.1875,6838.6182
3427555,2.0059,3857.4219,7737.6489
3427593,1.8212,3867.1875,7042.7559
3427630,1.9267,3862.3047,7441.6240
3427667,1.6628,3891.6016,6470.9380
3427704,1.7420,3886.7188,6770.5723
3427742,1.6892,3852.5391,6507.6675
3427780,1.7948,3881.8359,6966.9775
3427817,1.9267,3876.9531,7469.8477
3427855,1.6364,3886.7188,6360.2344
3427892,2.0323,3872.0703,7869.2305
3427930,1.9795,3867.1875,7655.1694
3427966,1.9267,3891.6016,7498.0713
3428004,1.7948,3886.7188,6975.7412
3428042,1.8212,3862.3047,7033.8638
3428079,2.1907,3813.4766,8354.0576
3428117,1.8739,3852.5391,7219.4434
3428154,1.7156,3896.4844,6684.7412
3428192,1.5836,3930.6641,6224.6577
3428229,1.9003,3896.4844,7404.6367
3428267,1.9531,3886.7188,7591.2476
3428303,1.9531,3886.7188,7591.2476
3428341,1.7684,3886.7188,6873.1567
3428379,1.7684,3901.3672,6899.0605
3428416,2.0323,3886.7188,7899.0010
3428454,1.7420,3906.2500,6804.5952
3428491,1.7156,3901.3672,6693.1182
3428529,1.6892,3891.6016,6573.6514
3428566,1.7156,3872.0703,6642.8569
3428603,1.8212,3862.3047,7033.8638
3428641,1.6892,3896.4844,6581.8994
3428678,1.7156,3901.3672,6693.1182
3428716,1.6100,3925.7813,6320.5410
3428753,1.9267,3867.1875,7451.0317
3428791,1.8212,3847.6563,7007.1865
3428828,1.8739,3872.0703,7256.0439
3428866,1.6892,3896.4844,6581.8994
3428902,1.6364,4038.0859,6607.9321
3428940,1.8739,3881.8359,7274.3442
3428978,1.7948,3896.4844,6993.2681
3429015,1.9003,3872.0703,7358.2417
3429053,1.6364,3872.0703,6336.2637
3429090,1.7948,3862.3047,6931.9238
3429128,1.8212,3876.9531,7060.5405
3429165,1.7684,3901.3672,6899.0605
3429202,1.7156,3891.6016,6676.3643
3429240,1.7684,3876.9531,6855.8872
3429277,2.0323,3828.1250,7779.9204
3429315,2.0323,3862.3047,7849.3838
3429352,1.8476,3867.1875,7144.8247
3429390,1.7420,3896.4844,6787.5840
3429427,2.1115,3857.4219,8144.8940
3429465,1.9267,3886.7188,7488.6631
3429501,1.9267,3857.4219,7432.2163
3429539,1.8476,3862.3047,7135.8032
3429577,1.9003,3896.4844,7404.6367
3429614,1.9003,3881.8359,7376.7998
3429652,1.7684,3901.3672,6899.0605
3429689,1.7948,3881.8359,6966.9775
3429727,1.6100,3906.2500,6289.0957
3429764,1.8212,3842.7734,6998.2939
3429801,1.7948,3847.6563,6905.6333
3429839,1.9267,3872.0703,7460.4399
3429876,1.7948,3906.2500,7010.7954
3429914,1.5836,3916.0156,6201.4604
3429951,2.0323,3857.4219,7839.4604
3429989,2.0587,3862.3047,7951.3242
3430026,1.8476,3862.3047,7135.8032
3430064,1.7684,3872.0703,6847.2524
3430100,1.8212,3901.3672,7105.0024
3430138,1.7948,3891.6016,6984.5049
3430176,1.8739,3886.7188,7283.4941
3430213,1.8476,3876.9531,7162.8672
3430251,1.5836,3886.7188,6155.0654
3430288,1.9003,3925.7813,7460.3105
3430326,2.0323,3862.3047,7849.3838
3430363,1.9795,3876.9531,7674.5005
3430401,1.9003,3876.9531,7367.5205
3430438,1.7948,3876.9531,6958.2144
3430475,2.1115,3828.1250,8083.0342
3430513,1.8476,3852.5391,7117.7607
3430550,1.9003,3862.3047,7339.6836
3430588,1.7684,3901.3672,6899.0605
3430625,1.7948,3891.6016,6984.5049
3430663,2.0323,3857.4219,7839.4604
3430700,1.8212,3857.4219,7024.9712
3430737,1.7420,3881.8359,6762.0664
3430775,1.7684,3896.4844,6890.4258
3430812,1.9003,3896.4844,7404.6367
3430850,1.9531,3872.0703,7562.6372
3430887,1.7684,3891.6016,6881.7910
3430925,1.6892,3867.1875,6532.4111
3430962,1.5836,3906.2500,6185.9956
3431000,1.9003,3862.3047,7339.6836
3431037,1.8739,3862.3047,7237.7437
3431074,1.9531,3857.4219,7534.0273
3431112,1.9267,3813.4766,7347.5454
3431149,1.8739,3852.5391,7219.4434
3431187,2.0587,3842.7734,7911.1152
3431224,1.7948,3881.8359,6966.9775
3431262,1.9003,3896.4844,7404.6367
3431299,1.6364,3906.2500,6392.1953
3431336,2.0323,3867.1875,7859.3071
3431374,1.7684,3872.0703,6847.2524
3431411,1.9003,3857.4219,7330.4048
3431449,1.6628,3896.4844,6479.0571
3431486,2.0059,3872.0703,7767.0327
3431524,1.8212,3891.6016,7087.2178
3431561,1.9003,3935.5469,7478.8687
3431599,1.8212,3886.7188,7078.3252
3431636,1.9795,3823.2422,7568.1787
3431673,1.9531,3862.3047,7543.5640
3431711,1.9267,3867.1875,7451.0317
3431748,1.9003,3876.9531,7367.5205
3431786,1.9003,3964.8438,7534.5425
3431823,1.9795,3842.7734,7606.8413
3431861,1.9003,3852.5391,7321.1255
3431898,1.9267,3857.4219,7432.2163
3431936,1.8476,3876.9531,7162.8672
3431973,1.9267,3881.8359,7479.2554
3432010,1.9531,3837.8906,7495.8799
3432048,2.0323,3857.4219,7839.4604
3432085,1.9003,3837.8906,7293.2886
3432123,1.7420,3906.2500,6804.5952
3432160,1.9267,3881.8359,7479.2554
3432198,1.9267,3872.0703,7460.4399
3432236,1.9267,3862.3047,7441.6240
3432272,1.7420,3842.7734,6694.0205
3432310,1.7948,3872.0703,6949.4507
3432347,1.9003,3872.0703,7358.2417
3432385,2.0323,3876.9531,7879.1538
3432422,2.0323,3847.6563,7819.6138
3432460,1.9003,3857.4219,7330.4048
3432497,1.9003,3852.5391,7321.1255
3432535,2.0851,3837.8906,8002.3589
3432572,1.9267,3872.0703,7460.4399
3432609,1.9795,3867.1875,7655.1694
3432647,1.9003,3876.9531,7367.5205
3432684,2.1115,3842.7734,8113.9639
3432722,1.8476,3857.4219,7126.7822
3432759,1.9795,3852.5391,7626.1724
3432797,1.8476,3881.8359,7171.8887
3432835,1.8739,3881.8359,7274.3442
3432871,1.7948,3886.7188,6975.7412
3432909,1.9267,3852.5391,7422.8081
3432946,1.9531,3818.3594,7457.7334
3432984,2.1379,3837.8906,8204.9502
3433021,2.0059,3876.9531,7776.8271
3433059,1.9795,3876.9531,7674.5005
3433096,1.9531,3857.4219,7534.0273
3433134,2.0323,3842.7734,7809.6904
3433171,1.9795,3837.8906,7597.1758
3433208,1.8739,3862.3047,7237.7437
3433246,1.8739,3881.8359,7274.3442
3433283,2.0059,3862.3047,7747.4434
3433321,1.8212,3896.4844,7096.1104
3433358,1.7684,3881.8359,6864.5220
3433396,1.9531,3842.7734,7505.4170
3433434,1.9267,3867.1875,7451.0317
3433470,1.8739,3872.0703,7256.0439
3433508,1.9531,3886.7188,7591.2476
3433545,2.0851,3862.3047,8053.2646
3433583,2.2171,3813.4766,8454.7090
3433620,2.2435,3813.4766,8555.3613
3433658,2.2698,3803.7109,8633.8447
3433695,2.1907,3847.6563,8428.9346
3433733,2.0851,3872.0703,8073.6270
3433771,2.0059,3784.1797,7590.7319
3433807,1.9795,3847.6563,7616.5068
3433845,2.0323,3823.2422,7769.9971
3433882,2.0587,3828.1250,7880.9585
3433920,1.9003,3886.7188,7386.0786
3433957,2.1115,3847.6563,8124.2739
3433995,2.0323,3842.7734,7809.6904
3434033,2.0059,3881.8359,7786.6216
3434070,1.8476,3857.4219,7126.7822
3434107,1.9795,3862.3047,7645.5039
3434144,2.0059,3876.9531,7776.8271
3434182,2.0851,3828.1250,7981.9966
3434219,2.0851,3837.8906,8002.3589
3434257,1.9267,3857.4219,7432.2163
3434294,2.1907,3808.5938,8343.3613
3434332,1.9795,3857.4219,7635.8379
3434370,2.2171,3847.6563,8530.4883
3434406,2.1379,3833.0078,8194.5107
3434444,2.0059,3833.0078,7688.6768
3434481,2.2698,3818.3594,8667.0947
3434519,2.0059,3828.1250,7678.8823
3434556,2.0587,3852.5391,7931.2197
3434594,2.0851,3867.1875,8063.4458
3434632,2.0851,3847.6563,8022.7212
3434669,2.0851,3798.8281,7920.9102
3434706,2.1379,3862.3047,8257.1445
3434743,2.1115,3823.2422,8072.7241
3434781,2.0059,3891.6016,7806.2104
3434818,2.1907,3847.6563,8428.9346
3434856,2.2171,3828.1250,8487.1855
3434893,2.1379,3823.2422,8173.6333
3434931,2.1379,3867.1875,8267.5830
3434969,1.9795,3823.2422,7568.1787
3435005,2.2698,3842.7734,8722.5107
3435043,2.2171,3837.8906,8508.8369
3435080,2.1379,3828.1250,8184.0723
3435118,2.0059,3833.0078,7688.6768
3435155,2.1379,3823.2422,8173.6333
3435193,2.4282,3823.2422,9283.6328
3435231,2.1907,3837.8906,8407.5410
3435268,2.1379,3833.0078,8194.5107
3435305,1.8739,3847.6563,7210.2935
3435342,2.2171,3803.7109,8433.0586
3435380,2.0059,3852.5391,7727.8545
3435417,2.0587,3862.3047,7951.3242
3435455,2.0323,3852.5391,7829.5371
3435492,2.0587,3833.0078,7891.0107
3435530,2.2171,3818.3594,8465.5352
3435568,2.2698,3818.3594,8667.0947
3435604,2.1115,3857.4219,8144.8940
3435642,1.9795,3872.0703,7664.8350
3435679,2.2698,3828.1250,8689.2617
3435717,2.1907,3808.5938,8343.3613
3435754,2.2435,3808.5938,8544.4063
3435792,2.0851,3803.7109,7931.0913
3435830,2.0851,3852.5391,8032.9023
3435867,2.2435,3818.3594,8566.3154
3435905,2.2435,3828.1250,8588.2236
3435941,2.1907,3833.0078,8396.8447
3435979,1.9795,3847.6563,7616.5068
3436016,2.1379,3833.0078,8194.5107
3436054,2.1379,3911.1328,8361.5332
3436091,2.0851,3833.0078,7992.1777
3436129,2.0059,3847.6563,7718.0601
3436167,2.1115,3813.4766,8052.1040
3436204,2.0851,3813.4766,7951.4531
3436241,2.1379,3842.7734,8215.3887
3436278,2.1643,3852.5391,8337.9492
3436316,2.0323,3847.6563,7819.6138
3436353,2.2435,3813.4766,8555.3613
3436391,2.1115,3808.5938,8041.7939
3436429,2.2698,3823.2422,8678.1777
3436466,2.1643,3847.6563,8327.3818
3436504,2.2435,3842.7734,8621.0869
3436540,2.2698,3833.0078,8700.3447
3436578,2.2435,3784.1797,8489.6348
3436615,2.0587,3808.5938,7840.7495
3436653,2.0059,3916.0156,7855.1831
3436690,2.1379,3837.8906,8204.9502
3436728,2.0323,3857.4219,7839.4604
3436766,2.1379,3818.3594,8163.1943
3436803,2.1643,3823.2422,8274.5430
3436840,2.2171,3813.4766,8454.7090
3436877,2.1379,3852.5391,8236.2666
3436915,2.2962,3901.3672,8958.4814
3436952,2.2435,3818.3594,8566.3154
3436990,2.1379,3808.5938,8142.3169
3437028,2.2962,3793.9453,8711.8145
3437065,2.2962,3803.7109,8734.2393
3437103,2.3490,3833.0078,9003.8457
3437139,2.1115,3852.5391,8134.5840
3437177,2.1907,3818.3594,8364.7549
3437214,2.1907,3789.0625,8300.5752
3437252,2.3226,3813.4766,8857.3145
3437289,2.1643,3837.8906,8306.2461
3437327,2.0851,3837.8906,8002.3589
3437365,2.3226,3818.3594,8868.6563
3437402,2.3226,3803.7109,8834.6328
3437440,2.2435,3818.3594,8566.3154
3437476,2.0851,3857.4219,8043.0835
3437514,2.1643,3828.1250,8285.1104
3437551,2.2698,3911.1328,8877.6768
3437589,2.4282,3803.7109,9236.2070
3437627,2.1907,3808.5938,8343.3613
3437664,2.1379,3842.7734,8215.3887
3437702,2.2435,3847.6563,8632.0420
3437739,2.2962,3818.3594,8767.8750
3437776,2.2962,3808.5938,8745.4512
3437813,2.1643,3764.6484,8147.7300
3437851,2.1379,3823.2422,8173.6333
3437888,2.2171,3828.1250,8487.1855
3437926,2.2698,3842.7734,8722.5107
3437964,2.2171,3837.8906,8508.8369
3438001,2.0851,3828.1250,7981.9966
3438039,2.0851,3813.4766,7951.4531
3438075,2.2435,3828.1250,8588.2236
3438113,2.2698,3808.5938,8644.9287
3438150,2.2171,3828.1250,8487.1855
3438188,2.1115,3837.8906,8103.6538
3438226,2.1907,3808.5938,8343.3613
3438263,2.2698,3798.8281,8622.7617
3438301,2.2435,3833.0078,8599.1787
3438338,2.1907,3930.6641,8610.7764
3438375,2.4018,3823.2422,9182.7236
3438412,2.2962,3793.9453,8711.8145
3438450,2.2698,3798.8281,8622.7617
3438487,2.2171,3818.3594,8465.5352
3438525,2.1643,3847.6563,8327.3818
3438563,2.2171,3808.5938,8443.8838
3438600,2.2698,3798.8281,8622.7617
3438638,2.2698,3803.7109,8633.8447
3438674,2.2698,3813.4766,8656.0117
3438712,2.2435,3847.6563,8632.0420
3438749,2.3226,3818.3594,8868.6563
3438787,2.3754,3793.9453,9012.2217
3438825,2.2962,3793.9453,8711.8145
3438862,2.3754,3789.0625,9000.6230
3438900,2.2962,3813.4766,8756.6631
3438937,2.3754,3823.2422,9081.8145
3438974,2.3226,3828.1250,8891.3379
3439011,2.4282,3793.9453,9212.4941
3439049,2.2698,3784.1797,8589.5117
3439086,2.1907,3823.2422,8375.4512
3439124,2.2171,3818.3594,8465.5352
3439162,2.3226,3842.7734,8925.3604
3439199,2.4018,3808.5938,9147.5410
3439237,2.2962,3793.9453,8711.8145
3439273,2.2962,3793.9453,8711.8145
3439311,2.4282,3676.7578,8927.9385
3439348,2.2171,3833.0078,8498.0117
3439386,2.1379,3847.6563,8225.8281
3439424,2.1115,3803.7109,8031.4839
3439461,2.4018,3784.1797,9088.9033
3439499,2.3754,3823.2422,9081.8145
3439536,2.1907,3862.3047,8461.0244
3439574,2.2171,3823.2422,8476.3604
3439610,2.3226,3803.7109,8834.6328
3439648,2.2698,3798.8281,8622.7617
3439685,2.2435,3789.0625,8500.5889
3439723,2.2435,3842.7734,8621.0869
3439761,2.1115,3852.5391,8134.5840
3439798,2.4282,3798.8281,9224.3506
3439836,2.3754,3779.2969,8977.4258
3439873,2.4546,3769.5313,9252.7021
3439910,2.3754,3823.2422,9081.8145
3439947,2.2962,3818.3594,8767.8750
3439985,2.3226,3808.5938,8845.9736
3440023,2.2435,3798.8281,8522.4980
3440060,2.3226,3779.2969,8777.9277
3440098,2.3754,3803.7109,9035.4199
3440135,2.2962,3842.7734,8823.9355
3440173,2.2171,3842.7734,8519.6621
3440209,2.2171,3823.2422,8476.3604
3440247,2.2435,3798.8281,8522.4980
3440284,2.2171,3808.5938,8443.8838
3440322,2.2435,3828.1250,8588.2236
3440360,2.3226,3813.4766,8857.3145
3440397,2.3226,3823.2422,8879.9971
3440435,2.3754,3793.9453,9012.2217
3440472,2.3226,3852.5391,8948.0430
3440509,2.1907,3837.8906,8407.5410
3440546,2.2171,3833.0078,8498.0117
3440584,2.2435,3818.3594,8566.3154
3440622,2.2698,3793.9453,8611.6787
3440659,2.2435,3803.7109,8533.4521
3440697,2.1379,3793.9453,8111.0000
3440734,2.3226,3837.8906,8914.0195
3440772,2.3490,3803.7109,8935.0264
3440808,2.3490,3789.0625,8900.6172
3440846,2.2698,3818.3594,8667.0947
3440883,2.2171,3842.7734,8519.6621
3440921,2.2171,3837.8906,8508.8369
3440959,2.3490,3789.0625,8900.6172
3440996,2.4018,3784.1797,9088.9033
3441034,2.4282,3789.0625,9200.6377
3441071,2.2435,3833.0078,8599.1787
3441108,2.4018,3818.3594,9170.9961
3441145,2.4018,3813.4766,9159.2686
3441183,2.3226,3793.9453,8811.9512
3441221,2.2171,3784.1797,8389.7568
3441258,2.2962,3828.1250,8790.2998
3441296,2.2962,3823.2422,8779.0879
3441333,2.3226,3818.3594,8868.6563
3441371,2.2698,3823.2422,8678.1777
3441408,2.1643,3803.7109,8232.2715
3441445,2.1907,3833.0078,8396.8447
3441482,2.2435,3823.2422,8577.2695
3441520,2.2435,3803.7109,8533.4521
3441558,2.2435,3818.3594,8566.3154
3441595,2.2435,3789.0625,8500.5889
3441633,2.3226,3784.1797,8789.2686
3441670,2.2962,3823.2422,8779.0879
3441708,2.2698,3818.3594,8667.0947
3441744,2.2698,3808.5938,8644.9287
3441782,2.4018,3789.0625,9100.6309
3441820,2.4018,3789.0625,9100.6309
3441857,2.4018,3813.4766,9159.2686
3441895,2.3226,3837.8906,8914.0195
3441932,2.2171,3823.2422,8476.3604
3441970,2.3490,3833.0078,9003.8457
3442007,2.3226,3789.0625,8800.6094
3442044,2.2435,3813.4766,8555.3613
3442081,2.2171,3837.8906,8508.8369
3442119,2.3754,3818.3594,9070.2158
3442157,2.3754,3793.9453,9012.2217
3442194,2.2962,3862.3047,8868.7842
3442232,2.1643,3818.3594,8263.9746
3442269,2.2171,3847.6563,8530.4883
3442307,2.3226,3833.0078,8902.6787
3442343,2.3226,3813.4766,8857.3145
3442381,2.2698,3803.7109,8633.8447
3442419,2.2962,3784.1797,8689.3906
3442456,2.4018,3735.3516,8971.6270
3442494,2.3754,3818.3594,9070.2158
3442531,2.3754,3803.7109,9035.4199
3442569,2.3754,3798.8281,9023.8213
3442606,2.2962,3789.0625,8700.6025
3442643,2.3226,3837.8906,8914.0195
3442680,2.3490,3803.7109,8935.0264
3442718,2.2698,3818.3594,8667.0947
3442756,2.1643,3808.5938,8242.8398
3442793,2.2698,3793.9453,8611.6787
3442831,2.1907,3833.0078,8396.8447
3442868,2.2171,3867.1875,8573.7900
3442906,2.1643,3823.2422,8274.5430
3442942,2.2435,3798.8281,8522.4980
3442980,2.2171,3769.5313,8357.2803
3443018,2.3490,3808.5938,8946.4961
3443055,2.2435,3833.0078,8599.1787
3443093,2.1379,3852.5391,8236.2666
3443130,2.2435,3803.7109,8533.4521
3443168,2.3490,3789.0625,8900.6172
3443205,2.3226,3784.1797,8789.2686
3443243,2.2962,3813.4766,8756.6631
3443279,2.3226,3813.4766,8857.3145
3443317,2.1907,3798.8281,8321.9678
3443355,2.3754,3876.9531,9209.4004
3443392,2.2698,3823.2422,8678.1777
3443430,2.2171,3823.2422,8476.3604
3443467,2.2435,3828.1250,8588.2236
3443505,2.2698,3818.3594,8667.0947
3443542,2.3754,3769.5313,8954.2285
3443579,2.2962,3798.8281,8723.0273
3443617,2.2435,3833.0078,8599.1787
3443654,2.0587,3847.6563,7921.1675
3443692,2.1379,3823.2422,8173.6333
3443729,2.2435,3813.4766,8555.3613
3443767,2.3226,3798.8281,8823.2920
3443804,2.3226,3828.1250,8891.3379
3443842,2.2698,3828.1250,8689.2617
3443878,2.4282,3789.0625,9200.6377
3443916,2.4282,3779.2969,9176.9248
3443954,2.2435,3813.4766,8555.3613
3443991,2.2698,3813.4766,8656.0117
3444029,2.2962,3837.8906,8812.7236
3444066,2.3226,3808.5938,8845.9736
3444104,2.3754,3793.9453,9012.2217
